roll,name,city,address,phone,marksMath,marksPhysics,marksChemistry
1,Student 1,City 1,Address 1,1234567890,85,90,88
2,Student 2,City 2,Address 2,0987654321,78,82,75
3,Student 3,City 3,Address 3,3333333333,92,95,90
4,Student 4,City 4,Address 4,4444444444,80,88,85
5,Student 5,City 5,Address 5,5555555555,75,78,72
6,Student 6,City 6,Address 6,6666666666,90,92,89
7,Student 7,City 7,Address 7,7777777777,82,85,80
8,Student 8,City 8,Address 8,8888888888,78,80,75
9,Student 9,City 9,Address 9,9999999999,95,98,92
10,Student 10,City 10,Address 10,1010101010,88,90,85
